name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Stargate,42,15194,0.0001146503880094,0.2596771901129648,0.0166666666666666,0.0004422332780541,16,17,1043,1,0
R3HAB,75,2553872,0.0002612396361753,0.2277079007100496,0.0221483942414175,0.0011885019347705,43,20,1231,0,0
Jonas Blue,74,3776079,0.0001411575348732,0.2202177757015671,0.0326086956521739,0.0006633499170812,24,20,1292,0,0
M-22,48,87882,9.640048543957e-05,0.1855310550588778,0.0151515151515151,0.0003316749585406,12,12,557,0,0
Dark Heart,45,11566,0.0001015818196365,0.1865034562066094,0.0,0.000359314538419,13,13,524,0,0
Lost Kings,52,391243,0.0001156314066466,0.2116512990341853,0.0,0.0004145936981757,15,13,658,0,0
Jasmine Thompson,67,874122,7.467841301207536e-05,0.1876821116445425,0.0181818181818181,0.0003040353786622,11,11,662,0,0
Sevdaliza,77,704987,9.23695747735419e-05,0.2174279300210085,0.0439560439560439,0.0003869541182974,14,15,929,3,1
Anitta,82,12715710,0.000140114014284,0.2246686796788657,0.06,0.0006909894969596,25,17,1259,2,0
Pabllo Vittar,77,4281403,0.0002736529406649,0.2179505901416148,0.0355618776671408,0.0010503040353786,38,38,2107,3,1
Yseult,75,264714,0.000159603939911,0.2609530225173283,0.0684210526315789,0.0005527915975677,20,21,1016,3,1
Villano Antillano,68,288242,0.0001174511029458,0.2139963784228202,0.0473684210526315,0.0005527915975677,20,20,1138,1,0
Tokischa,72,1338597,0.0001482628565415,0.1996892491082368,0.0366666666666666,0.0006909894969596,25,21,1299,1,0
Elyanna,72,220790,3.77511350474204e-05,0.1888986145752379,0.0,0.0001381978993919,5,6,416,1,0
Grimes,69,2440631,7.767344750593124e-05,0.2086344381709843,0.0,0.0002763957987838,10,10,605,1,0
Sleepnet,39,15536,7.018087574468365e-05,0.1850481702030593,0.1111111111111111,0.0002763957987838,10,11,475,1,0
Anyma,69,562488,0.0001613052290481,0.2593433183681431,0.019047619047619,0.0005804311774461,21,20,1202,0,0
Shygirl,65,289333,0.0001383286648625,0.1903759656420492,0.0428571428571428,0.0005804311774461,21,18,996,0,0
SebastiAn,45,134768,6.926000368059958e-05,0.1795253247206668,0.0,0.000221116639027,8,8,328,0,0
Fresku,53,82681,5.538467082598307e-05,0.1784820813067775,0.0,0.0001381978993919,5,5,203,0,0
Stwo,46,77325,7.906020124144059e-05,0.2587974741102468,0.0,0.0003040353786622,11,11,519,0,0
Armin van Buuren ASOT Radio,20,147136,9.422169789012995e-05,0.2162493381927641,0.0549450549450549,0.0003869541182974,14,3,151,0,0
Mara Pavanelly,51,241453,0.0001045755109503,0.1788439191675551,0.0222222222222222,0.0002763957987838,10,11,476,1,0
Forrozão Tropykalia,50,114054,4.1905971767445686e-05,0.178838574294121,0.1666666666666666,0.0001105583195135,4,5,277,1,0
NATTAN,77,3013542,0.0001291353039369,0.1856682509471466,0.0409356725146198,0.0005251520176893,19,19,1279,1,0
Zaynara,45,18832,4.477552424667241e-05,0.2088407389829121,0.2,0.0001658374792703,6,6,258,1,0
Will Love,39,481,0.000111275076343,0.2590458097455265,0.0659340659340659,0.0003869541182974,14,15,462,1,0
Gaby Amarantos,43,56725,0.0001503036043059,0.179413189795021,0.0294117647058823,0.0004698728579325,17,17,621,1,0
Maderito,32,262,8.629187430229093e-05,0.2089355312529268,0.1111111111111111,0.0002763957987838,10,11,303,1,0
Taty Girl,55,344634,0.0001378567521832,0.1788608467079765,0.0,0.000359314538419,13,14,613,1,0
PRISCILLA,52,981238,3.173671608015739e-05,0.1791017427453444,0.0,0.0001105583195135,4,5,309,1,0
POCAH,55,468463,0.000170952162252,0.2174529498901317,0.0646153846153846,0.000718629076838,26,22,1227,1,0
DJ Biel do Furduncinho,57,16743,0.0001859471236105,0.1853136844808217,0.0266666666666666,0.0006909894969596,25,24,1120,0,0
Lia Clark,42,358207,8.308116737144167e-05,0.2123359711410833,0.0444444444444444,0.0002763957987838,10,10,452,1,0
Aluna,62,81046,0.0001535838944844,0.1932772040683178,0.0129870129870129,0.0006080707573244,22,21,1106,1,0
MNEK,69,294746,0.0001240090295233,0.1948642980242448,0.0147058823529411,0.0004698728579325,17,18,977,1,0
O Kannalha,43,168776,0.0001517489571541,0.180241796609267,0.0166666666666666,0.0004422332780541,16,16,546,0,0
MC Tchelinho,40,2352,0.0002046074675891,0.2095599001252485,0.0047619047619047,0.0005804311774461,21,22,658,1,0
