name,popularity,followers,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Najoua Belyzel,38,47176,2,38,0,0
Cassandre,8,1471,1,8,0,0
Go3 Hyungmin,8,30,1,8,0,0
Nyls,0,2023,3,0,0,0
Debjyoti Khawas,2,58,1,2,0,0
DRC STUDIOS,0,1,3,0,0,0
Ezeqiel T,0,10,1,0,0,0
Anne-Marie,79,12092462,12,423,1,0
Tanner Adell,56,109028,5,299,1,0
Ruger,69,3172968,21,304,1,0
KC Lights,52,33318,47,1277,1,0
Darell,78,4548014,56,1121,1,0
Piso 21,76,9178620,45,1453,1,0
Jhosy,43,6408,16,249,1,0
Felix Jaehn,75,1286661,19,616,0,0
Punctual,62,49274,40,518,1,0
Elley Duhé,76,588722,20,1011,2,0
French The Kid,58,192104,24,262,1,0
MOTi,59,262340,30,330,0,0
Hypaton,66,80562,23,649,0,0
Niklas Dee,70,63058,51,860,0,0
MusicByDavid,27,1049,27,444,1,0
Berx,9,1136,20,118,1,0
RØØKIE,2,165,4,3,1,0
Tear eye,1,95,3,1,0,0
Will Joseph Cook,43,86710,6,123,1,0
clide,43,28279,2,43,0,0
Kinda Moderate,6,412,5,6,0,0
Ava Max,81,7159699,37,1216,2,0
Blank & Jones,56,110946,12,56,0,0
Franny J.,24,1452,25,390,3,0
Rachel Morgan Perry,54,2290,20,191,1,0
Tobias Ward,28,246,27,363,4,0
Fablers,23,3461,30,584,3,0
Dare County,21,491,28,350,4,0
J4CKO,24,1805,16,233,2,0
Jukx,6,930,14,228,2,0
Plastik Funk,47,17735,24,145,0,0
Grimix,35,1755,19,105,0,0
Kevin Krissen,31,873,24,196,2,0
Revealed Recordings,40,49218,26,372,1,0
Saints & Stars,0,831,1,0,0,0
Charlie Dens,13,962,8,35,0,0
DJ Hard,2,3847,11,15,0,0
LIME.,1,47,7,9,1,0
M1CK3Y,13,276,12,48,1,0
Drew Jaxen,0,20,4,8,1,0
Enman,13,1227,7,26,0,0
KNo1,1,70,3,1,0,0
Hylsvik,2,186,13,29,1,0
RAULTO,0,14,4,10,1,0
D4ZX,3,647,26,118,2,0
A-SIX,16,246,9,79,1,0
Dwann,0,32,3,56,1,0
Frozen Mindz,0,96,3,8,1,0
Divided Music,0,28,8,9,1,0
Zouroufa,0,44,5,8,1,0
Insko,9,945,3,9,0,0
Acø,0,29,7,15,0,0
C&37,2,65,5,15,0,0
Aevion,30,14620,5,30,0,0
ODECORE,68,579754,10,339,1,0
VALORANT,66,381130,24,215,1,0
Lay Bankz,68,566887,9,277,1,0
asteria,67,602257,6,220,1,0
Ayesha Erotica,72,1330872,12,153,1,0
6arelyhuman,72,1393874,17,314,0,0
9lives,68,435170,12,484,1,0
Kanii,68,596040,12,394,1,0
Nimstarr,61,95223,12,278,1,0
cade clair,67,332093,13,148,1,0
Sassy Scene,54,45460,8,262,0,0
Tanishk Bagchi,78,4484857,27,603,2,0
Tesher,57,152860,8,207,1,0
33nimb,47,1411,8,118,1,0
Mwizz,62,7247,7,195,1,0
George Kipa,62,7790,6,195,1,0
Jason Derulo,79,12233293,13,732,2,0
joyful,54,14556,5,173,1,0
MANDUMÈ,38,625,5,109,1,0
Clonnex,48,94064,16,191,1,0
picassio,34,5940,12,105,1,0
deyluvkirby,45,25161,9,160,1,0
eddyoetty,44,4036,6,160,1,0
WhosxTJ!,21,124,5,21,0,0
lucaf.,54,12797,11,237,0,0
Boy Destroy,29,1662,9,177,0,0
HXPETRAIN,42,1485,11,451,2,0
Sublab,43,37242,16,188,0,0
Danni Carra,39,3770,22,187,0,0
LXNGVX,76,438447,7,217,0,0
Bibi Babydoll,73,334243,27,620,0,0
Police In Paris,31,570,8,166,1,0
Bodycam,43,355,20,402,1,0
AlienBlaze,31,4031,10,259,0,0
Fidi,34,2136,21,173,0,0
Bru-C,62,334320,15,235,0,0
Switch Disco,62,106856,14,481,0,0
Andruss,51,28706,18,181,0,0
Sadfriendd,62,106040,22,228,1,0
Kill Dyll,55,205315,8,181,0,0
ALMA,54,226028,8,304,0,0
Digital Farm Animals,60,72396,18,325,0,0
THIRST,48,15608,9,283,0,0
Crazy Mano,67,84078,19,483,1,0
Qoiet,40,22934,23,354,0,0
Rizó,23,1186,6,126,0,0
NØCTRIS,35,8291,7,126,0,0
LAUTRE.,25,1467,14,136,0,0
Angemi,44,97718,22,207,0,0
dnvn,51,7828,15,163,0,0
TWISTED,57,74755,14,286,0,0
Sinizter,51,53329,12,100,0,0
HXI,48,16687,14,105,0,0
Dragon Boys,54,42232,13,225,0,0
HARDX,48,6796,13,149,1,0
lowskey,34,21,4,149,1,0
VØJ,66,262023,15,305,2,0
Daedra,37,2487,13,207,1,0
angst,31,1288,4,98,1,0
EYKEY,29,246,6,124,1,0
VETTX,28,113,5,124,1,0
FoxTune,37,1373,5,104,1,0
fkbambam,47,27067,13,274,1,0
ARXMANE,63,104320,9,106,0,0
KyozeH,47,21390,21,47,0,0
LXRY PXNK,44,7653,9,44,0,0
Philippine Lavrey,42,9202,4,128,1,0
Randolph,42,98112,2,110,1,0
Bugzy Malone,62,870316,8,250,1,0
Oliver Tree,71,2496037,17,379,1,0
Tom Grennan,65,569959,8,199,0,0
S-X,47,136122,1,47,0,0
A7S,68,69931,20,794,1,0
JAY1,56,453028,14,184,0,0
Polo G,81,11904185,12,600,0,0
Sean Paul,82,4900255,15,287,0,0
Tinie Tempah,64,840324,21,340,1,0
Craig David,65,916083,8,206,0,0
Blinkie,45,36868,19,271,0,0
S1mba,55,101728,22,164,0,0
Nathan Dawe,64,130304,15,532,0,0
Shapes,41,8250,23,249,0,0
PS1,44,10281,20,233,0,0
Ella Henderson,74,1633742,13,571,0,0
Tion Wayne,67,1142091,18,200,0,0
Swarmz,51,209038,14,303,1,0
Lil Pump,65,7636993,10,169,0,0
Smokepurpp,57,2406251,17,268,0,0
P Money,55,165865,20,102,0,0
Yoshi,20,134,16,143,1,0
Offica,44,48043,10,44,0,0
Big Zuu,39,50720,15,39,0,0
Reverse Pathogen,43,4783,2,125,0,0
LAZER DIM 700,63,251082,5,145,0,0
Diplo,79,2684125,11,318,0,0
Fallon,34,3549,7,195,0,0
mgk,79,5393227,4,244,0,0
m$sha,22,886,5,128,0,0
Thee JAE,24,3293,5,195,0,0
Zelly Ocho,36,19969,2,36,0,0
YUNG NATION,29,20461,8,135,0,0
Fooly Faime,24,992,14,135,0,0
Slimesito,49,90077,5,49,0,0
Mak Sauce,31,24145,9,162,0,0
Tre Loaded,49,28461,12,162,0,0
EKKSTACY,65,305112,6,251,0,0
Tory Lanez,82,7098887,2,82,0,0
Yoko Gold,63,11270,3,227,0,0
Skye Morales,35,9058,3,117,0,0
Zzz.,41,45787,6,123,0,0
Rvssian,76,2504206,25,867,0,0
Vybz Kartel,68,1549745,5,68,0,0
Just Juice,42,135100,7,42,0,0
tana,59,409939,7,141,0,0
Chris King,37,14682,5,37,0,0
Rylo Rodriguez,65,549053,14,431,0,0
Rich The Kid,69,3387476,13,486,0,0
Ski Mask The Slump God,74,5938462,13,429,0,0
Lil B,56,314601,3,56,0,0
G Herbo,71,2194241,6,212,0,0
Future,93,18988221,7,537,0,0
DaBaby,80,12259543,4,162,0,0
Noah Kahan,87,3489424,14,266,1,0
MEDUZA,76,826597,20,400,0,0
Chemical Surf,50,246468,23,160,0,0
Tiësto,84,7531106,1,84,0,0
KVSH,62,433480,23,190,0,0
KREAM,59,270230,18,428,1,0
Fideles,55,76411,18,218,1,0
Maren Morris,71,829088,10,386,1,0
Bear McCreary,64,210210,2,64,0,0
Audiotree,58,17918,21,58,0,0
Lil Tjay,79,9078760,12,355,1,0
Roy Woods,61,1173551,10,233,1,0
FRVRFRIDAY,57,89267,5,130,1,0
Fossa Beats,39,7188,10,112,1,0
LAYNE,36,3386,4,36,0,0
Tyga,79,6996519,5,315,1,0
Chlöe,62,566626,8,465,1,0
Machinedrum,48,127917,8,91,0,0
KYLE,62,1084150,8,195,0,0
Gryffin,69,968287,17,225,0,0
Snakehips,61,361396,19,459,0,0
DIXSON,39,19357,5,190,1,0
Calvin Harris,87,22902495,12,305,0,0
Normani,69,2790666,12,951,3,0
KDA,43,18172,21,238,1,0
